
4670,09-23,MarathonOasisdeMontreal,MARATHON,04:00:30,M35-39
4670,06-17,TourduLacBrome,20KMROUTE,01:49:17,M30-39

4672,09-23,MarathonOasisdeMontreal,MARATHON,04:09:13,F25-29
4672,05-06,BMOVancouverMarathon,MARATHON,04:10:33,F25-29

4674,09-23,MarathonOasisdeMontreal,MARATHON,03:56:12,M30-34
4674,06-17,TourduLacBrome,10KMROUTE,00:50:14,M30-39

4677,10-14,ClassiqueDuParcLaFontaine,5KM,00:21:54,M30-39

4678,09-23,Marathon Oasis de Montreal,Marathon,04:03:12,M30-34

4679,05-26,DemiMarathonGenerations,DEMIMARATHON,01:28:26,M40-49

4682,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:57:38,M35-39

4684,10-07,LaPetiteDerniere,11KM,00:46:55,M40-49

4687,10-14,ScotiabankTorontoWaterfrontMarathon,HALFMARATHON,02:15:14,F35-39

4694,09-23,MarathonOasisdeMontreal,MARATHON,03:36:01,M45-49
4694,08-05,DéfiBoréalSainte-Anne-de-Bellevue,20KM,01:44:05,M40-49
4694,05-27,OttawaRaceWeekend,MARATHON,03:24:51,M45-49

4695,06-24,ScotiabankVancouverHalfMarathon&5k,HALFMARATHON,02:00:16,M35-39

4696,09-23,MarathonOasisdeMontreal,5KMSPORTSEXPERTS,00:36:57,F45-49

4697,09-23,Marathon Oasis de Montreal,Marathon,03:37:35,M35-39

4707,03-25,AroundtheBayRoadRaces,30KM,02:18:52,F30-34

4711,09-23,MarathonOasisdeMontreal,MARATHON,04:04:35,F35-39

4715,10-14,DefiduTourduLacBeauport,18KM,01:31:38,F40-49
4715,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,01:53:52,F40-49
4715,06-03,DefidesEscaliers,13KM,-1,F40-49

4721,09-23,Marathon Oasis de Montreal,Marathon,03:36:42,M18-24

4723,10-14,ClassiqueDuParcLaFontaine,10KM,00:43:16,M40-49
4723,06-24,CoupeDix302012,10KM,00:45:29,M40-49
4723,02-18,DemiMarathonHypothermique,DEMIMARATHON,01:46:41,M30-39

4730,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,02:01:09,F30-39

4733,09-23,MarathonOasisdeMontreal,MARATHON,03:43:25,M25-29

4747,09-23,MarathonOasisdeMontreal,MARATHON,05:03:30,M45-49

4748,09-23,MarathonOasisdeMontreal,MARATHON,-1,M30-34
4748,04-29,CoursePrintaniereOka,"21,1KM",01:30:27,M30-39

4751,08-26,MarathondesDeuxRivesLévis-Québec,MARATHON,04:33:17,M30-39
4751,05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,01:50:48,M30-39

4753,09-23,Marathon Oasis de Montreal,Marathon,03:44:43,M30-34

4755,06-30,DemiMarathondeSherbrooke,DEMIMARATHON,01:40:23,M30-39

4757,09-23,MarathonOasisdeMontreal,MARATHON,03:29:52,F45-49
4757,08-12,TorontoInternationalTenMilerand5K,10MILES,01:12:22,F45-49
4757,05-13,SportingLife10K,10KM,00:42:32,F45-49

4758,09-23,MarathonOasisdeMontreal,MARATHON,03:52:59,M45-49

4761,09-23,MarathonOasisdeMontreal,MARATHON,04:06:54,F35-39
4761,02-18,DemiMarathonHypothermique,DEMIMARATHON,01:52:29,F30-39

4765,09-23,MarathonOasisdeMontreal,MARATHON,03:27:28,M30-34

4767,09-08,TriathlonEspritdeMontreal,TRIATHLONOLYMPIQUE,02:21:23,M35-39
4767,06-24,IronmanMont-Tremblant70.3,OVERALL70.3,05:13:06,M35-39
4767,04-01,IronmanLonestar70.3,OVERALL,05:39:50,M35-39

4774,06-02,Coursedesiles,21KM,01:46:54,M30-39

4777,09-23,MarathonOasisdeMontreal,MARATHON,03:35:03,M40-44

4780,09-23,MarathonOasisdeMontreal,MARATHON,04:02:54,M18-24
4780,09-09,Demi-MarathonGranby,DEMIMARATHON,01:41:40,M20-29
4780,05-06,CourseduFortdeChambly,5KM,00:22:23,M19-
4780,04-29,BanqueScotia21kmet5km,"21,1KM",02:00:24,M15-19

4782,08-26,MarathondesDeuxRivesLévis-Québec,MARATHON,05:02:50,M60-69

4788,08-12,GranfondoGarneau-Cascades,110KM,03:49:16,M31-40

4792,09-23,Marathon Oasis de Montreal,Marathon,04:36:06,M45-49

4794,09-23,MarathonOasisdeMontreal,1KMPTITMARATHON,00:08:38,M13+

4795,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:57:19,F18-24

4799,09-23,MarathonOasisdeMontreal,MARATHON,04:10:58,M40-44
4799,04-29,BanqueScotia21kmet5km,"21,1KM",02:01:17,M40-44

4800,11-04,OkaRoadRace,DEMI-MARATHON,01:41:46,M30-39
4800,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:35:12,M30-34
4800,09-09,Demi-MarathonGranby,DEMIMARATHON,01:35:46,M30-39
4800,06-02,Coursedesiles,21KM,01:43:36,M30-39
4800,05-13,AurythmedenosfouléesChâteauguay,DEMI-MARATHON,01:43:54,M30-39
4800,04-29,BanqueScotia21kmet5km,"21,1KM",01:44:38,M30-34

4802,10-21,NiagaraFallsInternationalMarathon,MARATHON,04:22:58,F25-29
4802,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:48:59,F25-29
4802,08-05,DéfiBoréalSainte-Anne-de-Bellevue,10KM,00:52:44,F20-29
4802,04-29,BanqueScotia21kmet5km,"21,1KM",01:57:05,F25-29

4803,09-23,MarathonOasisdeMontreal,MARATHON,04:34:25,M45-49
4803,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,01:52:14,M40-49
4803,05-27,OttawaRaceWeekend,HALFMARATHON,01:49:14,M45-49

4808,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:12:26,F40-44
4808,07-08,CoupeDix302012,5KM,00:27:48,F40-49
4808,06-24,CoupeDix302012,5KM,00:29:39,F40-49

4825,09-23,MarathonOasisdeMontreal,MARATHON,03:42:23,M30-34

4828,09-23,MarathonOasisdeMontreal,MARATHON,04:40:39,M30-34

4837,05-27,OttawaRaceWeekend,MARATHON,03:00:25,M30-34

4841,10-14,ScotiabankTorontoWaterfrontMarathon,HALFMARATHON,01:28:06,M45-49
4841,06-17,ManitobaMarathon,MARATHON,-1,M45-49

4843,10-28,Ironman70.3Miami,OVERALLRESULTS,06:02:36,M30-34

4844,09-23,MarathonOasisdeMontreal,MARATHON,03:30:01,M40-44
4844,06-17,TourduLacBrome,10KMROUTE,00:40:29,M40-49
4844,05-06,CourseduFortdeChambly,5KM,00:19:23,M40-49

4846,09-23,Marathon Oasis de Montreal,Marathon,04:12:58,M50-54

4847,10-14,ClassiqueDuParcLaFontaine,10KM,00:39:46,M40-49
4847,09-22,DefiVeloMag,105KM,02:56:09,M40-49

4849,09-23,Marathon Oasis de Montreal,Marathon,03:59:41,F25-29

4854,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:58:47,M30-34

4857,09-23,Marathon Oasis de Montreal,Marathon,04:07:20,M50-54

4858,09-16,LaGrandeVadrouille,5KM,00:18:30,M30-39
4858,09-09,Demi-MarathonGranby,DEMIMARATHON,01:25:30,M30-39
4858,05-13,DefiGerardCotedeSt-Hyacinthe,15KM,00:58:15,M30-39
4858,04-29,CoursePrintaniereOka,"21,1KM",01:28:11,M30-39
4858,02-19,DéfiHivernalIleBizard,5KM,00:19:41,M30-39

4860,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:33:14,M25-29
4860,04-29,BanqueScotia21kmet5km,"21,1KM",01:39:13,M25-29

4861,09-23,MarathonOasisdeMontreal,MARATHON,04:12:58,M55-59
4861,06-10,RunWalk4PatrickFamilyFest,HALFMARATHON,01:56:45,M55-59

4868,05-13,AurythmedenosfouléesChâteauguay,5KM,00:36:07,F20-29

4870,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:35:34,M45-49
4870,05-27,OttawaRaceWeekend,MARATHON,04:01:22,M45-49
4870,05-05,NorthFaceEnduranceChallenge-NortheastRegional,50MILES,10:55:30,M46-55
4870,04-29,BanqueScotia21kmet5km,5KM,00:32:41,M45-49
4870,04-29,BanqueScotia21kmet5km,"21,1KM",01:34:31,M45-49
4870,02-18,DemiMarathonHypothermique,DEMIMARATHON,01:43:08,M40-49

4871,09-23,Marathon Oasis de Montreal,Marathon,03:53:55,F25-29

4880,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:01:04,F40-44
4880,05-27,OttawaRaceWeekend,HALFMARATHON,02:13:03,F40-44

4882,09-23,MarathonOasisdeMontreal,MARATHON,03:51:19,M30-34

4885,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:38:29,M35-39

4890,05-13,AurythmedenosfouléesChâteauguay,5KM,00:25:54,M12-13

4891,09-23,Marathon Oasis de Montreal,Marathon,04:16:34,M55-59

4892,06-10,LaGrandeVireedesSentiersSt-Bruno,20KM,02:09:05,F20-29

4899,08-19,CoupeDix302012,5KM,00:23:04,M40-49
4899,06-24,CoupeDix302012,10KM,00:52:33,M40-49
4899,06-10,DemimarathondespompiersdeShawinigan,5KM,00:23:17,M30-39
4899,05-20,CoupeDix302012,5KM,00:24:28,M40-49

4904,09-23,Marathon Oasis de Montreal,Marathon,03:57:01,M25-29

4907,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:02:28,M40-44

4911,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:50:19,M30-34

4912,09-23,Marathon Oasis de Montreal,Marathon,03:26:56,M25-29

4913,03-25,AroundtheBayRoadRaces,30KM,02:34:22,M45-49

4914,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:29:15,M35-39
4914,05-26,OttawaRaceWeekend,2KM,00:17:37,M35-39

4916,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:01:24,M25-29

4917,10-14,ScotiabankTorontoWaterfrontMarathon,HALFMARATHON,01:57:55,M45-49

4919,09-23,MarathonOasisdeMontreal,MARATHON,04:01:12,M25-29
4919,05-27,OttawaRaceWeekend,HALFMARATHON,01:57:02,M25-29
4919,04-29,BanqueScotia21kmet5km,"21,1KM",01:48:20,M25-29

4922,09-23,MarathonOasisdeMontreal,MARATHON,04:14:14,M18-24

4923,09-23,MarathonOasisdeMontreal,MARATHON,04:23:46,M25-29

4925,09-23,ArmyRun/CoursedelArmee,HALFMARATHON,02:02:10,F30-39

4928,09-23,MarathonOasisdeMontreal,MARATHON,03:55:44,M50-54
4928,06-17,TourduLacBrome,20KMROUTE,01:41:07,M50-59
4928,04-29,BanqueScotia21kmet5km,"21,1KM",01:45:07,M50-54

4929,09-23,MarathonOasisdeMontreal,MARATHON,04:32:21,M45-49

4934,09-23,Marathon Oasis de Montreal,Marathon,04:03:10,M18-24

4935,09-23,MarathonOasisdeMontreal,MARATHON,04:13:59,F30-34
4935,04-29,BanqueScotia21kmet5km,"21,1KM",01:50:57,F30-34

4937,09-23,MarathonOasisdeMontreal,MARATHON,03:47:53,M40-44
4937,05-27,TriathlonDuathlond'Oka,TRIATHLON,01:30:52,M40-44
4937,04-29,CoursePrintaniereOka,5KM,00:40:26,M40-49

4939,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:57:00,M50-54

4941,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:34:07,M25-29

4946,10-14,ClassiqueDuParcLaFontaine,10KM,00:43:38,M50-59
4946,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:42:23,M50-54
4946,06-10,LaGrandeVireedesSentiersSt-Bruno,20KM,01:36:06,M50-59
4946,06-02,Coursedesiles,10KM,00:45:31,M50-59
4946,04-29,BanqueScotia21kmet5km,"21,1KM",01:45:37,M50-54
4946,02-19,DéfiHivernalIleBizard,10KM,00:47:41,M50-59

4948,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:28:53,F35-39

4951,09-23,MarathonOasisdeMontreal,MARATHON,04:28:30,M25-29

4955,04-29,BanqueScotia21kmet5km,"21,1KM",02:06:03,F35-39

4957,09-23,MarathonOasisdeMontreal,MARATHON,05:10:07,F30-34

4958,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:48:20,F40-44

4964,09-23,Marathon Oasis de Montreal,Marathon,04:09:21,F50-54

4968,09-23,MarathonOasisdeMontreal,MARATHON,04:09:04,M35-39
4968,06-17,TourduLacBrome,10KMROUTE,00:56:12,M30-39

4970,09-23,Marathon Oasis de Montreal,Marathon,03:52:11,M25-29

4972,10-21,NiagaraFallsInternationalMarathon,MARATHON,03:43:41,M25-29
4972,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:30:10,M25-29
4972,08-05,DéfiBoréalSainte-Anne-de-Bellevue,20KM,01:33:28,M20-29
4972,04-29,BanqueScotia21kmet5km,"21,1KM",01:29:47,M25-29

4978,09-30,MarathondeRimouski,"21,1KM",01:47:46,F40-49
4978,07-08,Ironman70.3RhodeIsland,OVERALLRESULTS,06:39:17,F40-44
4978,06-16,TriathlonLacBeauport,TRIATHLON,02:02:14,F40-44
4978,05-27,OttawaRaceWeekend,MARATHON,03:38:00,F40-44
4978,05-20,LeTourdelaPointe,5KM,00:22:50,F40-49

4982,08-15,Le5kmEndurance,5KM,00:22:56,M50-59

4985,09-23,MarathonOasisdeMontreal,MARATHON,03:39:16,M25-29
4985,09-22,DefiVeloMag,105KM,03:49:58,M20-29
4985,09-08,TriathlonEspritdeMontreal,TRIATHLONSPRINT,01:18:41,M25-29
4985,07-22,TriathlonTrimemphredeMagog,TRIATHLONSPRINT,01:27:18,M25-29

4987,09-23,MarathonOasisdeMontreal,MARATHON,04:21:50,M50-54

4993,08-19,IronmanMont-Tremblant,OVERALL,11:44:43,M25-29
4993,06-30,TupperLakeTinmanTriathlon,TINMANTRIATHLON,06:12:31,M25-29
4993,06-09,Triathlon/DuathlonMont-Tremblant,TRIATHLONOLYMPIQUE,02:33:31,M25-29
4993,04-29,BanqueScotia21kmet5km,"21,1KM",01:43:21,M25-29
4993,02-18,DemiMarathonHypothermique,DEMIMARATHON,01:43:15,M20-29

4997,09-23,MarathonOasisdeMontreal,MARATHON,04:28:17,F40-44
4997,05-27,OttawaRaceWeekend,MARATHON,04:20:35,F40-44

5003,05-27,OttawaRaceWeekend,MARATHON,04:32:25,M45-49

5005,09-23,MarathonOasisdeMontreal,10KM,00:52:58,M40-44

5014,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:02:11,F18-24

5015,09-23,MarathonOasisdeMontreal,MARATHON,03:38:04,M35-39
5015,06-30,DemiMarathondeSherbrooke,DEMIMARATHON,-1,M30-39

5016,09-23,MarathonOasisdeMontreal,MARATHON,04:33:29,F18-24

5020,09-23,MarathonOasisdeMontreal,MARATHON,04:16:03,M35-39

5021,06-17,TourduLacBrome,20KMROUTE,02:15:58,M30-39

5024,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,02:09:27,F40-49

5025,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:23:32,F35-39

5029,09-23,Marathon Oasis de Montreal,Marathon,04:31:40,F30-34

5032,09-23,MarathonOasisdeMontreal,MARATHON,04:33:26,F30-34

5034,09-23,MarathonOasisdeMontreal,MARATHON,05:28:11,F18-24
5034,05-27,OttawaRaceWeekend,HALFMARATHON,02:37:39,F20-24
5034,05-12,CoursedelaFondationhopitalSaintJerome,10KM,00:59:22,F20-29
5034,02-18,DemiMarathonHypothermique,DEMIMARATHON,02:40:46,F20-29

5037,09-23,Marathon Oasis de Montreal,Marathon,04:16:09,F40-44

5041,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:57:21,M25-29
5041,05-26,OttawaRaceWeekend,10KM,01:03:50,M25-29

5046,09-23,MarathonOasisdeMontreal,10KM,00:57:09,M50-54
5046,06-03,DéfiTri-O-Lacs,5KM,00:24:38,M50-59
5046,04-29,BanqueScotia21kmet5km,"21,1KM",01:57:26,M50-54
5046,02-19,DéfiHivernalIleBizard,10KM,00:54:41,M50-59

5047,09-23,MarathonOasisdeMontreal,MARATHON,03:49:08,M55-59

5048,06-17,TourduLacBrome,10KMROUTE,00:57:55,M30-39

5051,10-14,ScotiabankTorontoWaterfrontMarathon,MARATHON,03:18:05,M70-74
5051,05-27,OttawaRaceWeekend,MARATHON,03:16:05,M70-74

5052,10-14,ScotiabankTorontoWaterfrontMarathon,HALFMARATHON,01:46:59,M45-49
5052,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:50:58,M45-49

5054,09-23,MarathonOasisdeMontreal,MARATHON,04:23:49,M18-24
5054,08-15,Le5kmEndurance,5KM,00:20:49,M20-29
5054,06-24,CoupeDix302012,10KM,00:45:30,M20-29
5054,06-03,TriathlondeJoliette,SPRINTTRIATHLON,01:18:11,M20-24

5057,09-23,Marathon Oasis de Montreal,Marathon,03:48:30,M30-34

5059,04-29,BanqueScotia21kmet5km,"21,1KM",02:31:53,F25-29

5064,06-24,ScotiabankVancouverHalfMarathon&5k,HALFMARATHON,01:30:45,F35-39

5065,09-23,Marathon Oasis de Montreal,Marathon,04:07:39,M30-34

5069,09-23,Marathon Oasis de Montreal,Marathon,03:53:22,M40-44

5072,09-23,MarathonOasisdeMontreal,MARATHON,04:17:16,M55-59
5072,08-05,DéfiBoréalSainte-Anne-de-Bellevue,20KM,01:53:58,M50-59
5072,06-10,LaGrandeVireedesSentiersSt-Bruno,10KM,00:53:10,M50-59
5072,06-02,Coursedesiles,10KM,00:54:32,M50-59
5072,02-18,DemiMarathonHypothermique,DEMIMARATHON,01:57:00,M50-59

5074,09-23,Marathon Oasis de Montreal,Marathon,03:34:43,M30-34

5076,09-23,Marathon Oasis de Montreal,Marathon,03:16:09,M35-39

5079,09-23,MarathonOasisdeMontreal,MARATHON,03:39:10,M25-29

5082,09-23,MarathonOasisdeMontreal,1KMPTITMARATHON,00:12:41,M13+

5083,05-06,CourseduFortdeChambly,5KM,00:27:42,M30-39

5084,08-12,Demi-MarathonduMont-Tremblant,10KM,00:58:14,M30-39
5084,06-03,Ironman70.3Mooseman,OVERALL,08:08:26,M35-39
5084,05-27,OttawaRaceWeekend,MARATHON,02:49:27,M35-39

5088,09-23,MarathonOasisdeMontreal,MARATHON,04:02:13,M40-44
5088,08-26,TriathlondeValleyfield,DUATHLONSPRINT,01:14:41,M40-49

5090,09-23,MarathonOasisdeMontreal,MARATHON,04:04:28,M18-24
5090,02-19,WintermanMarathonandMarathonRelays,10KM,00:54:35,M18-19

5091,09-23,Marathon Oasis de Montreal,Marathon,03:13:30,M30-34

5093,08-26,MarathondesDeuxRivesLévis-Québec,MARATHON,03:55:08,M30-39

5097,09-23,Marathon Oasis de Montreal,Marathon,03:31:00,M60-64

5102,05-27,OttawaRaceWeekend,MARATHON,03:39:48,M25-29

5103,09-23,MarathonOasisdeMontreal,MARATHON,05:36:17,M35-39

5104,09-23,Marathon Oasis de Montreal,Marathon,03:52:01,M35-39

5110,09-23,Marathon Oasis de Montreal,Marathon,03:28:50,F45-49

5111,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:16:41,M35-39

5112,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:06:03,M30-34

5118,11-04,OkaRoadRace,DEMI-MARATHON,01:48:23,M40-49
5118,10-07,DemimarathondescouleursdeBecancour,DEMIMARATHON,01:46:59,M40-49
5118,09-16,LaGrandeVadrouille,10KM,00:48:20,M40-49
5118,09-09,Demi-MarathonGranby,DEMIMARATHON,01:52:53,M40-49
5118,08-19,CoupeDix302012,10KM,00:46:32,M40-49
5118,07-22,CoupeDix302012,10KM,00:47:35,M40-49
5118,06-10,LaGrandeVireedesSentiersSt-Bruno,20KM,01:39:27,M40-49
5118,05-20,CoupeDix302012,10KM,00:49:14,M40-49
5118,05-13,AurythmedenosfouléesChâteauguay,DEMI-MARATHON,01:43:39,M40-49
5118,05-06,DéficourseetmarcheDesjardinsSainteThérèse,10KM,00:47:22,M40-49
5118,04-22,CourseSaint-Laurent,10KM,00:47:22,M40-49
5118,03-25,CourseetmarchepopulairesdeLaSalle,10KM,00:50:33,M40-49
5118,02-19,DéfiHivernalIleBizard,10KM,00:48:28,M40-49

5119,06-30,DemiMarathondeSherbrooke,DEMIMARATHON,02:05:06,F50-59
5119,05-27,OttawaRaceWeekend,HALFMARATHON,02:07:36,F55-59

5125,08-26,MarathondesDeuxRivesLévis-Québec,MARATHON,03:23:27,M30-39
5125,06-10,LaGrandeVireedesSentiersSt-Bruno,20KM,01:25:29,M30-39

5128,10-07,BMOOkanaganMarathon,MARATHON,05:15:41,F40-49

5132,09-23,MarathonOasisdeMontreal,MARATHON,03:52:40,M45-49
5132,06-17,TourduLacBrome,20KMROUTE,01:48:39,M40-49
5132,06-10,LaGrandeVireedesSentiersSt-Bruno,20KM,01:52:22,M40-49
5132,05-13,AurythmedenosfouléesChâteauguay,DEMI-MARATHON,01:32:54,M40-49

5135,09-30,MarathondeRimouski,"21,1KM",01:53:18,M50-59

5136,03-25,CourseetmarchepopulairesdeLaSalle,10KM,00:40:13,M20-29

5139,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:51:17,M55-59
5139,05-27,OttawaRaceWeekend,HALFMARATHON,02:01:11,M55-59

5142,06-17,TourduLacBrome,20KMROUTE,01:58:13,F40-49
5142,05-27,OttawaRaceWeekend,MARATHON,03:54:49,F40-44
5142,05-06,DéficourseetmarcheDesjardinsSainteThérèse,5KM,00:23:12,F40-49
5142,04-29,BanqueScotia21kmet5km,"21,1KM",01:49:59,F40-44
5142,04-22,CourseSaint-Laurent,5KM,00:23:14,F40-49

5145,10-07,DemimarathondescouleursdeBecancour,DEMIMARATHON,01:29:55,M40-49

5154,09-23,Marathon Oasis de Montreal,Marathon,03:39:39,M25-29

5158,02-18,DemiMarathonHypothermique,DEMIMARATHON,01:39:35,M20-29

5160,09-23,MarathonOasisdeMontreal,MARATHON,04:13:35,M30-34

5161,11-04,OkaRoadRace,DEMI-MARATHON,02:01:34,M40-49
5161,09-23,MarathonOasisdeMontreal,MARATHON,03:51:50,M45-49
5161,06-17,TourduLacBrome,20KMROUTE,01:57:32,M40-49
5161,06-17,TourduLacBrome,CHALLENGEMARATHON,04:14:51,M40-49
5161,06-16,TourduLacBrome,"22,2KMCHEMINDECAMPAGNE",02:17:19,M40-49

5162,09-23,MarathonOasisdeMontreal,MARATHON,03:17:30,F25-29

5166,10-14,ScotiabankTorontoWaterfrontMarathon,MARATHON,05:04:25,M40-44
5166,08-18,AMidSummerNightsRun,30KMRACE,03:07:50,M40-49
5166,05-06,"GoodlifeTorontoMarathon,HalfMarathon,and5k",MARATHON,04:36:41,M40-44
5166,03-25,AroundtheBayRoadRaces,30KM,03:03:53,M40-44

5173,09-23,MarathonOasisdeMontreal,MARATHON,03:45:18,M30-34

5174,11-04,OkaRoadRace,DEMI-MARATHON,01:51:29,F20-29
5174,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:55:32,F25-29

5176,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:02:02,M50-54
5176,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,02:11:20,M50-59
5176,07-14,Demi-MarathonMarcelJobin,21KM,02:00:45,M50-59
5176,06-17,TourduLacBrome,20KMROUTE,01:55:36,M50-59
5176,05-13,AurythmedenosfouléesChâteauguay,10KM,00:53:31,M50-59

5181,09-23,MarathonOasisdeMontreal,MARATHON,03:56:30,M30-34
5181,04-29,BanqueScotia21kmet5km,"21,1KM",01:32:16,M30-34

5183,09-23,MarathonOasisdeMontreal,MARATHON,03:58:23,M50-54

5184,09-30,MarathondeRimouski,"21,1KM",01:49:36,M40-49

5186,09-23,Marathon Oasis de Montreal,Marathon,04:46:22,M30-34

5189,09-23,MarathonOasisdeMontreal,MARATHON,03:22:11,M25-29

5196,11-04,OkaRoadRace,10KCOURSE,00:58:00,M40-49
5196,09-23,MarathonOasisdeMontreal,10KM,00:53:58,M45-49

5197,09-23,MarathonOasisdeMontreal,MARATHON,03:34:54,M30-34
5197,09-09,Demi-MarathonGranby,DEMIMARATHON,01:41:29,M30-39
5197,08-26,MarathondesDeuxRivesLévis-Québec,MARATHON,03:58:55,M30-39
5197,05-06,DemiMarathonInternationaldeQuebec,DEMIMARATHON,01:45:05,M30-39

5201,09-23,MarathonOasisdeMontreal,10KM,00:45:36,M50-54

5202,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:56:08,M45-49

5206,09-23,Marathon Oasis de Montreal,Marathon,04:18:46,F55-59

5208,09-23,MarathonOasisdeMontreal,MARATHON,03:44:30,M50-54
5208,06-30,DemiMarathondeSherbrooke,DEMIMARATHON,02:19:45,M40-49

5214,08-19,IronmanMont-Tremblant,OVERALL,10:53:39,M35-39
5214,07-22,TriathlonTrimemphredeMagog,TRIATHLONOLYMPIQUE,02:27:56,M35-39
5214,06-16,TriathlonDrummondville,TRIATHLONOLYMPIQUE,02:15:12,M35-39
5214,05-27,OttawaRaceWeekend,HALFMARATHON,01:30:10,M35-39

5218,09-23,MarathonOasisdeMontreal,MARATHON,04:34:36,F25-29
5218,06-17,TourduLacBrome,20KMROUTE,02:05:15,F20-29
5218,06-17,TourduLacBrome,CHALLENGEMARATHON,04:29:42,F20-29
5218,06-16,TourduLacBrome,"22,2KMCHEMINDECAMPAGNE",02:24:27,F20-29
5218,05-12,CoursedelaFondationhopitalSaintJerome,10KM,00:55:16,F20-29

5219,06-16,TourduLacBrome,9KMTRAIL,00:58:18,F20-29

5223,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,02:06:16,F35-39
5223,05-20,CoupeDix302012,5KM,00:28:32,F30-39

5224,09-23,MarathonOasisdeMontreal,10KM,01:02:29,F45-49

5225,10-14,ScotiabankTorontoWaterfrontMarathon,MARATHON,04:46:52,M40-44
5225,09-23,MarathonOasisdeMontreal,DEMI-MARATHON,01:51:41,M40-44
5225,05-19,ColonelByClassic,8KM,00:41:49,M40-44

5228,09-23,Marathon Oasis de Montreal,Marathon,03:13:41,M55-59

5232,09-23,MarathonOasisdeMontreal,MARATHON,04:27:54,M45-49

5235,09-23,MarathonOasisdeMontreal,MARATHON,03:43:09,M35-39

5240,09-23,Marathon Oasis de Montreal,Marathon,03:52:25,F25-29

5242,10-14,ScotiabankTorontoWaterfrontMarathon,MARATHON,04:13:17,F40-44
5242,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,01:59:58,F40-49
5242,05-27,OttawaRaceWeekend,HALFMARATHON,01:51:53,F40-44

5254,09-23,MarathonOasisdeMontreal,MARATHON,04:12:42,M30-34
5254,06-03,BreadandHoneyRaces,15KM,01:13:30,M30-34
5254,03-25,AroundtheBayRoadRaces,30KM,02:43:33,M30-34
5254,03-04,ChillyHalfMarathon&Frosty5km,HALFMARATHON,01:46:58,M30-34

5257,09-23,MarathonOasisdeMontreal,MARATHON,04:40:40,M40-44
5257,06-30,DemiMarathondeSherbrooke,DEMIMARATHON,02:05:09,M40-49
5257,06-10,LaGrandeVireedesSentiersSt-Bruno,20KM,01:53:54,M40-49

5271,09-23,MarathonOasisdeMontreal,MARATHON,03:35:46,M30-34
5271,08-26,MarathondesDeuxRivesLévis-Québec,DEMI-MARATHON,01:47:19,M30-39

5284,09-23,Marathon Oasis de Montreal,Marathon,04:17:58,M25-29

5289,11-04,OkaRoadRace,DEMI-MARATHON,01:56:04,F30-39
5289,10-14,ClassiqueDuParcLaFontaine,10KM,00:50:26,F30-39
